schoolId,schoolname,country,city,careersPageUrl,tesEmployerSlug,tesOrganizationId
FLIS0086,Ermitage Int'l,France,Paris,https://www.ermitage.fr/en/careers,ermitage-international-school-1066851,1066851
FLIS0087,Oslo International,Norway,Oslo,https://www.oslointernationalschool.no/employment,,
FLIS0088,American School Paris,France,Paris,https://www.asparis.org/employment,,
FLIS0089,St Julian's School,Portugal,Lisbon,https://www.stjulians.com/work-with-us/vacancies,st-julian-s-school-1058006,1058006
FLIS0090,American School Madrid,Spain,Madrid,https://www.asmadrid.org/careers,,
FLIS0091,British Int'l Budapest,Hungary,Budapest,https://www.nordangliaeducation.com/bis-budapest/careers,the-british-international-school-budapest-1057761,1057761
FLIS0092,St George's Munich,Germany,Munich,https://www.stgeorgesschool.com/careers,st-george-s-the-british-international-school-munich-1074432,1074432
FLIS0093,Bavarian International,Germany,Munich,https://www.bis-school.com/careers,,
FLIS0094,International Basel,Switz,Basel,https://www.isbasel.ch/careers,international-school-basel-reinach-campus-1055110,1055110
FLIS0095,TASIS Switzerland,Switz,Lugano,https://switzerland.tasis.com/employment,the-american-school-in-switzerland-tasis-1059117,1059117
FLIS0096,IS Athens,Greece,Athens,https://www.isa.edu.gr/about/join-our-team,,
FLIS0097,Danube International School Vienna,Austria,Vienna,https://www.danubeschool.com/community/employment,danube-international-school-vienna-1057637,1057637
FLIS0098,British BCN (Nexus),Spain,Barcelona,https://www.britishschoolbarcelona.com/careers,the-british-school-of-barcelona-1169587,1169587
FLIS0099,Heidelberg Int'l,Germany,Heidelberg,https://www.hischool.de/employment,heidelberg-international-school--h-i-s---1067664,1067664
FLIS0100,NIST International,Thailand,Bangkok,https://www.nist.ac.th/careers,nist-international-school-1062814,1062814
FLIS0101,British International School Riyadh,Saudi Arabia,Riyadh,https://www.bisr.com.sa/careers,british-international-school-riyadh-1057688,1057688
FLIS0102,American International School Riyadh,Saudi Arabia,Riyadh,https://www.aisr.org/employment,,
FLIS0103,SEK International School Riyadh,Saudi Arabia,Riyadh,https://riyadh.sek.international/work-with-us/,sek-international-school-riyadh-1260795,1260795
FLIS0104,Reigate Grammar School Riyadh,Saudi Arabia,Riyadh,https://rgs-riyadh.edu.sa/careers/,reigate-grammar-school-riyadh-1263403,1263403
FLIS0105,Downe House Riyadh,Saudi Arabia,Riyadh,https://www.downehouseriyadh.com/careers/,downe-house-riyadh-1262215,1262215
FLIS0106,Al Faris International School,Saudi Arabia,Riyadh,https://alfaris.edu.sa/careers/,,
FLIS0107,Misk Schools,Saudi Arabia,Riyadh,https://miskschools.edu.sa/careers,misk-schools-1081677,1081677
FLIS0108,Saud International School,Saudi Arabia,Riyadh,https://sis.edu.sa/careers/,,
FLIS0109,British International School Abu Dhabi,UAE,Abu Dhabi,https://www.nordangliaeducation.com/bis-abu-dhabi/careers,the-british-international-school-abu-dhabi-1058518,1058518
FLIS0110,Nord Anglia International School Abu Dhabi,UAE,Abu Dhabi,https://www.nordangliaeducation.com/nas-abu-dhabi/careers,nord-anglia-international-school-abu-dhabi-1265059,1265059
FLIS0111,Cranleigh Abu Dhabi,UAE,Abu Dhabi,https://www.cranleigh.ae/careers,cranleigh-abu-dhabi-1067935,1067935
FLIS0112,Brighton College Abu Dhabi,UAE,Abu Dhabi,https://www.brightoncollege.ae/careers,brighton-college-abu-dhabi-1062693,1062693
FLIS0113,Raha International School,UAE,Abu Dhabi,https://www.taaleem.ae/careers,raha-international-school-gardens-campus-1070644,1070644
FLIS0114,Dubai College,UAE,Dubai,https://www.dubaicollege.org/recruitment,dubai-college-uae-1057286,1057286
FLIS0115,Dubai British School,UAE,Dubai Jumeira,,dubai-british-school-jumeira-1265177,1265177
